IP地址,端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
66.235.200.253,443,TRUE,LAX,North America,Los Angeles,220,12.79 
23.227.60.140,443,TRUE,LAX,North America,Los Angeles,223,12.65 
66.235.200.132,2087,TRUE,LAX,North America,Los Angeles,189,12.38 
23.227.60.4,2096,TRUE,LAX,North America,Los Angeles,231,11.96 
185.146.173.132,2083,TRUE,LAX,North America,Los Angeles,217,11.94 
23.227.60.200,2096,TRUE,LAX,North America,Los Angeles,229,11.83 
23.227.60.253,8443,TRUE,LAX,North America,Los Angeles,205,11.82 
23.227.60.106,2083,TRUE,LAX,North America,Los Angeles,232,11.78 
23.227.60.211,2096,TRUE,LAX,North America,Los Angeles,206,11.70 
23.227.60.14,443,TRUE,LAX,North America,Los Angeles,237,11.65 
23.227.60.98,2087,TRUE,LAX,North America,Los Angeles,221,11.65 
185.146.173.109,2096,TRUE,LAX,North America,Los Angeles,222,11.61 
185.146.173.217,2087,TRUE,LAX,North America,Los Angeles,222,11.54 
66.235.200.223,2083,TRUE,LAX,North America,Los Angeles,224,11.52 
23.227.60.153,443,TRUE,LAX,North America,Los Angeles,243,11.50 
23.227.60.70,2087,TRUE,LAX,North America,Los Angeles,224,11.33 
185.146.173.122,2053,TRUE,LAX,North America,Los Angeles,193,11.32 
23.227.60.177,2083,TRUE,LAX,North America,Los Angeles,224,11.25 
66.235.200.244,2053,TRUE,LAX,North America,Los Angeles,234,11.06 
66.235.200.110,8443,TRUE,LAX,North America,Los Angeles,235,11.03 
23.227.60.30,2053,TRUE,LAX,North America,Los Angeles,207,11.00 
23.227.60.132,2087,TRUE,LAX,North America,Los Angeles,221,10.89 
23.227.60.123,2053,TRUE,LAX,North America,Los Angeles,233,10.75 
23.227.60.182,2083,TRUE,LAX,North America,Los Angeles,233,10.72 
23.227.60.164,2053,TRUE,LAX,North America,Los Angeles,238,10.68 
66.235.200.80,2096,TRUE,LAX,North America,Los Angeles,251,10.64 
23.227.60.198,8443,TRUE,LAX,North America,Los Angeles,216,10.42 
185.146.173.94,443,TRUE,LAX,North America,Los Angeles,222,10.34 
23.227.60.126,8443,TRUE,LAX,North America,Los Angeles,215,9.96 
185.146.173.233,8443,TRUE,LAX,North America,Los Angeles,226,9.84 
